Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0.06245444103842601,0,0.0020818147013415,0.01121091526431296,
3,10.87367930409857,10.87367930409869,10.87367930409869,10.8736793040988,1.345160804498759e-13,
4,0.1008387929612127,0.2421796851729141,0.1913214018354665,0.1873972269356727,0.03270225004532785,
5,0,0,0,0,0,
6,0.003595691541477208,0.04566290953471253,0.02113099605412572,0.02026028640011646,0.009478076855786183,
7,2.727167611737968e-06,0.003154623587761307,0.0005022548139095306,0.0007817991227057064,0.0009197168832528182,
8,100,100,100,100,0,
9,100,300,300,293.3333333333335,35.90109871423007,
10,400,400,400,400,0,
