Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,10.87367930409859,10.87367930409859,10.87367930409859,10.87367930409859,1.413664608936609e-15,
4,0.1042656783509839,0.2492417318211755,0.1883851635859423,0.1873197252407438,0.03402471248731334,
5,0,0,0,0,0,
6,0.007950650080908565,0.04645222926927041,0.02332023437683097,0.02419957406145618,0.01003908617858914,
7,1.393495513742034e-06,0.01164207368168933,0.0003850755346770032,0.0009887502459612065,0.002100133159984822,
8,33.1883586198725,100,100,97.77294528732908,11.99305666223846,
9,100,300.0000000000001,300,280,60,
10,400,400,400,400,0,
