Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,20.16172754938558,20.16172754938558,20.16172754938558,20.16172754938558,4.982250811727015e-15,
4,0.3122788636823418,0.5028643120954273,0.4183487626247597,0.4106493799834323,0.05085428934484041,
5,0,0,0,0,0,
6,0.5314139949965409,0.7792928010915798,0.6429040722953425,0.6496463405478549,0.0604246656245719,
7,0.1431512893963853,0.2708490279935249,0.2189815195316836,0.2143029329395574,0.02550873600191253,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,48.75322149674246,48.82580577391739,48.75332471419836,48.75570978428559,0.01301658317039805,
