Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,10.8736793040986,10.87367930409861,10.87367930409861,10.87367930409861,3.654865888338787e-15,
4,0.1827711983119403,0.3131024572544643,0.2480726101773709,0.2477393722964266,0.03458985031067014,
5,0,0,0,0,0,
6,8.040817632280587e-06,0.02468409177081982,0.005871806280273324,0.009372269165347367,0.007866981483652462,
7,0,0.002549598937212791,0.0002692206196305594,0.0006018086235484339,0.0006936846640090854,
8,0,100.0000000000001,100,96.66666666666669,17.95054935711502,
9,0,300.0000000000003,300.0000000000002,276.6666666666667,71.56970184527961,
10,400.0000000000001,400.0000000000002,400.0000000000001,400.0000000000001,8.620731300711157e-14,
