Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,10.87367930409869,10.87367930409869,10.87367930409869,10.8736793040988,1.13686837721616e-13,
4,0.1712393926857203,0.2933709898918551,0.2514115013032097,0.2431801864511272,0.03356021497256836,
5,0,0,0,0,0,
6,7.215531763904437e-05,0.03507674349316403,0.01883002737258721,0.01648472801002754,0.01027710932963375,
7,0,0.002869418780392152,0.0001860569755081087,0.0005514256608876167,0.0007927427638981835,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,47.98801903576577,47.98801903576623,47.98801903576623,47.98801903576577,4.471039939063189e-13,
