Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,20.16172754938566,20.16172754938566,20.16172754938566,20.16172754938566,0,
4,0.3330550699399737,0.6099214473824759,0.5275683930387913,0.5227841129574244,0.05679294729007554,
5,0,0,0,0,0,
6,0.004601430630373216,0.1064967788026934,0.05886491131877847,0.05923501715733437,0.02262868838580429,
7,0.001576596844643063,0.04946857536970128,0.01514431330997468,0.01743821158379433,0.0113049510442468,
8,100,100.0000000000005,100.0000000000005,100,4.393276790684903e-13,
9,394.7055887731203,399.8809116007678,398.0707552148451,397.408402432392,1.514019152183259,
10,485.6889099437931,485.7277553968588,485.7096971428982,485.7093640189137,0.009066569169513917,
