Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,20.16172754938558,20.16172754938559,20.16172754938558,20.16172754938558,2.51214793389404e-15,
4,0.4245160935991815,0.592119046859734,0.5134207413048799,0.5126269902759971,0.04586895126511029,
5,0,0,0,0,0,
6,0.01177668895130038,0.09811702475211287,0.05487535914603978,0.05631899666799808,0.02549780488239272,
7,0.003211205161998311,0.04317699716358234,0.02080519346659536,0.01987656092627744,0.01060311366809375,
8,100,100,100,100,0,
9,349.420044939058,398.1604967415533,397.9361363760092,393.6348371098168,11.91056202734118,
10,485.6889099437931,485.7266747956008,485.704413646952,485.7017477698911,0.01036044198339311,
