Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,20.16172754938558,20.16172754938559,20.16172754938558,20.16172754938558,2.900778571755772e-15,
4,0.3925587752855092,0.6515704121561297,0.5225325002218597,0.5156237131848881,0.06588826773026175,
5,0,0,0,0,0,
6,0.002207127664639865,0.6028780780012183,0.4819205103880171,0.4011659459127441,0.1916286409001661,
7,0.002039739326684796,0.1323150617511606,0.02470511612538208,0.03713686014338274,0.03487164418266836,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,48.75322149674246,48.75332471419837,48.75332471419837,48.7533143924528,3.096523677115215e-05,
