Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,20.16172754938558,20.16172754938558,20.16172754938558,20.16172754938558,4.493866839778177e-15,
4,0.3293301376281649,0.5085153585602094,0.4294025387218355,0.4269462741388098,0.0388561244584779,
5,0,0,0,0,0,
6,0.06800324919995121,0.1201941323020011,0.09799782593167852,0.0973927206620874,0.01319308959493415,
7,0.02799233140980326,0.1406336748002761,0.06523868802258798,0.07019174159216263,0.02990582999154115,
8,100,100,100,100,0,
9,300.0000000000001,399.8809116007673,398.0707552148451,393.825337651754,17.51763789787424,
10,485.6889099437931,485.7523890406045,485.7096971428979,485.7089008732623,0.01170737516120205,
