Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0.06245444103842601,0,0.0020818147013415,0.01121091526431296,
3,10.87367930409857,10.87367930409869,10.87367930409869,10.8736793040988,1.245376910231166e-13,
4,0.1139506167073705,0.2403167269701498,0.1869651024712766,0.1863404233640722,0.03061711920588754,
5,0,0,0,0,0,
6,0.00818900468107131,0.1090242943810154,0.04648857129927819,0.04748327048082501,0.02311926560266071,
7,6.162217687233351e-07,0.007811026430772472,0.0003663276256702375,0.001053724726261862,0.001746850653583365,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,47.98801903576577,47.98801903576577,47.98801903576577,47.98801903576577,0,
