Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,10.87367930409859,10.87367930409859,10.87367930409859,10.87367930409859,1.4862067603866e-15,
4,0.1292634657153537,0.2415371261032088,0.1852546795423533,0.1896788995581805,0.02976939368114973,
5,0,0,0,0,0,
6,0.01558658604605981,0.116497399770393,0.04394541982871504,0.05167169390551438,0.02644654916152688,
7,3.613349112167878e-06,0.4993284882082466,0.0007722425232435756,0.01753766221419062,0.08947042587828924,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,47.98801903576584,47.98801903576585,47.98801903576585,47.98801903576584,1.251039582091025e-14,
