Func.,Best,Worst,Median,Mean,Std
1,0,0,0,0,0,
2,0,0,0,0,0,
3,10.87367930409857,10.87367930409869,10.87367930409869,10.8736793040988,1.525268983755125e-13,
4,0.1611257737185952,0.2890692523806138,0.2196230777776691,0.2222484638191418,0.03262080008539332,
5,0,0,0,0,0,
6,1.20815866466728e-05,0.02080205115498757,0.001226158324243443,0.004970984558894997,0.007579260239884845,
7,5.119970865052892e-06,0.00190700288521839,0.0002266812198286061,0.0004142537959523906,0.0004918560966853455,
8,0,0,0,0,0,
9,0,0,0,0,0,
10,47.98801903576577,47.98801903576577,47.98801903576577,47.98801903576577,0,
